Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone
,,,,,European,North American,South American,ROW,Local,Continental,Qualify Prize,Group Prize,Final Prize,
0,14,England,4.5,15000000,6,0,0,0,9,0,50000,100000,150000,0
0,18,France,4.5,15000000,10,0,0,0,12,0,50000,100000,150000,1
0,27,Italy,4.5,15000000,8,0,0,0,11,0,50000,100000,150000,1
0,45,Spain,4.5,15000000,8,0,0,0,11,0,50000,100000,150000,1
0,21,Germany,4.5,15000000,10,0,0,0,12,0,50000,100000,150000,1
0,83,Mexico,4.5,15000000,6,1,0,0,12,0,50000,100000,150000,-6
0,54,Brazil,4.5,15000000,7,1,0,0,12,0,50000,100000,150000,-3
0,52,Argentina,4.5,15000000,7,1,0,0,12,0,50000,100000,150000,-3
0,183,Saudi Arabia,5,20000000,7,0,0,0,9,0,50000,100000,150000,3
0,167,Korea,5,20000000,7,0,0,0,10,0,50000,100000,150000,9
0,195,Australia,5,20000000,7,0,0,0,10,0,50000,100000,150000,10
0,95,U.S. (MLS),5,20000000,7,0,0,0,10,0,50000,100000,150000,-6
0,163,Japan,5,20000000,7,0,0,0,10,0,50000,100000,150000,9
0,155,China,5,20000000,7,0,0,0,10,0,50000,100000,150000,8
0,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
1,83,Mexico,2.5,0,0,4,2,0,4,0,50000,100000,100000,-6
1,95,U.S. (MLS),2.5,2500000,0,2,3,0,4,0,50000,100000,100000,-6
1,52,Argentina,2,1000000,0,0,0,0,4,4,50000,100000,100000,-3
1,52,Argentina,2,0,0,0,0,0,3,5,50000,100000,100000,-3
1,54,Brazil,2,0,0,0,0,0,3,5,50000,100000,100000,-3
1,54,Brazil,2,1000000,0,0,0,0,4,4,50000,100000,100000,-3
1,183,Saudi Arabia,1,0,0,0,0,0,3,5,50000,100000,100000,3
1,195,Australia,1,0,0,0,0,0,3,5,50000,100000,100000,10
1,167,Korea,2,2000000,0,0,0,0,3,5,50000,100000,100000,9
1,163,Japan,2,0,0,0,0,0,3,5,50000,100000,100000,9
1,155,China,2,0,0,0,0,0,3,5,50000,100000,100000,8
1,14,England,4,8000000,0,0,0,0,9,0,50000,100000,150000,0
1,34,Netherlands,4,8000000,0,0,0,0,2,6,50000,100000,150000,1
1,38,Portugal,4,8000000,0,0,0,0,2,6,50000,100000,150000,0
1,21,Germany,4,8000000,0,0,0,0,3,6,50000,100000,150000,1
1,47,Switzerland,3.5,3000000,0,0,0,0,2,6,50000,100000,100000,1
1,18,France,3.5,3000000,0,0,0,0,3,6,50000,100000,100000,1
1,27,Italy,3.5,5000000,0,0,0,0,3,6,50000,100000,100000,1
1,45,Spain,3.5,4000000,0,0,0,0,3,6,50000,100000,100000,1
1,7,Belgium,3.5,5000000,0,0,0,0,2,6,50000,100000,100000,1
1,4,Austria,3,3000000,0,0,0,0,2,6,50000,100000,100000,1
1,13,Denmark,3,3000000,0,0,0,0,2,6,50000,100000,100000,1
1,36,Norway,3,3000000,0,0,0,0,2,6,50000,100000,100000,1
1,46,Sweden,3,1000000,0,0,0,0,2,6,50000,100000,100000,1
1,48,Turkey,3,1000000,0,0,0,0,4,6,50000,100000,100000,3
1,34,Netherlands,2.5,1000000,0,0,0,0,9,0,50000,100000,100000,1
1,27,Italy,2.5,1000000,0,0,0,0,4,6,50000,100000,100000,1
1,21,Germany,2.5,1000000,0,0,0,0,4,6,50000,100000,100000,1
1,7,Belgium,2.5,1000000,0,0,0,0,3,6,50000,100000,100000,1
1,45,Spain,2,0,0,0,0,0,4,6,50000,100000,100000,1
1,47,Switzerland,2,1000000,0,0,0,0,3,6,50000,100000,100000,1
1,4,Austria,2,0,0,0,0,0,3,6,50000,100000,100000,1
1,18,France,2,1000000,0,0,0,0,4,6,50000,100000,100000,1
1,38,Portugal,1.5,0,0,0,0,0,3,6,50000,100000,100000,0
1,48,Turkey,1.5,0,0,0,0,0,3,6,50000,100000,100000,3
1,13,Denmark,1.5,0,0,0,0,0,3,6,50000,100000,100000,1
1,27,Italy,1.5,0,0,0,0,0,4,4,50000,100000,100000,1
1,21,Germany,1,0,0,0,0,0,3,6,50000,100000,100000,1
1,34,Netherlands,1,0,0,0,0,0,3,6,50000,100000,100000,1
1,46,Sweden,1,0,0,0,0,0,3,6,50000,100000,100000,1
1,4,Austria,1,0,0,0,0,0,3,6,50000,100000,100000,1
1,25,Republic of Ireland,0.5,0,0,0,0,0,4,4,50000,100000,100000,0
1,45,Spain,0.5,0,0,0,0,0,4,6,50000,100000,100000,1
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,50000,100000,100000,-6
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,50000,100000,100000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,50000,100000,100000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,50000,100000,100000,-6
2,52,Argentina,1.5,0,0,0,0,0,5,3,50000,100000,100000,-3
2,52,Argentina,1.5,0,0,0,0,0,4,4,50000,100000,100000,-3
2,52,Argentina,1.5,0,0,0,0,0,6,2,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,3,5,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,50000,100000,100000,-3
2,163,Japan,2,0,0,0,0,0,3,5,50000,100000,100000,9
2,163,Japan,2,0,0,0,0,0,3,5,50000,100000,100000,9
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,50000,100000,100000,3
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,50000,100000,100000,3
2,195,Australia,1,0,0,0,0,0,3,5,50000,100000,100000,10
2,195,Australia,1,0,0,0,0,0,3,5,50000,100000,100000,10
2,167,Korea,1,0,0,0,0,0,3,5,50000,100000,100000,9
2,167,Korea,1,0,0,0,0,0,3,5,50000,100000,100000,9
2,155,China,1,0,0,0,0,0,3,5,50000,100000,100000,8
2,155,China,1,0,0,0,0,0,3,5,50000,100000,100000,8
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
